lad,lad_code,Final area,LAD23CD,LONG,LAT,Shape__Area,Shape__Length
Cardiff,W06000015,Wales,W06000015,-3.22209,51.50254,142291275.6,60169.49715
Monmouthshire,W06000021,Wales,W06000021,-2.9028,51.77827,855039406.5,183155.5634
Newport,W06000022,Wales,W06000022,-2.89769,51.58231,191835512.3,87840.543
Powys,W06000023,Wales,W06000023,-3.43531,52.34863,5199673584,504284.661
Isle of Anglesey,W06000001,Wales,W06000001,-4.32298,53.27931,708333147.5,208462.183
Gwynedd,W06000002,Wales,W06000002,-3.77715,52.89883,2549541878,429749.3368
Conwy,W06000003,Wales,W06000003,-3.74646,53.14739,1136885741,196009.1911
Denbighshire,W06000004,Wales,W06000004,-3.34761,53.08833,834278706.9,188183.2763
Ceredigion,W06000008,Wales,W06000008,-3.94993,52.29795,1782598581,260652.932
Pembrokeshire,W06000009,Wales,W06000009,-4.90818,51.85513,1626511904,372670.614
Carmarthenshire,W06000010,Wales,W06000010,-4.21109,51.89495,2368429262,317261.7937
Swansea,W06000011,Wales,W06000011,-3.96723,51.65806,376516236,154395.874
Neath Port Talbot,W06000012,Wales,W06000012,-3.74638,51.6445,448022989.1,121359.1991
Bridgend,W06000013,Wales,W06000013,-3.61375,51.5606,249582321.2,76696.21949
Rhondda Cynon Taf,W06000016,Wales,W06000016,-3.41359,51.62185,422367629.3,112311.5005
Caerphilly,W06000018,Wales,W06000018,-3.19753,51.65001,277812177.5,98223.97905
Blaenau Gwent,W06000019,Wales,W06000019,-3.18592,51.75364,109273377.8,58166.93549
Torfaen,W06000020,Wales,W06000020,-3.05101,51.69836,125718310.5,68470.47902
Merthyr Tydfil,W06000024,Wales,W06000024,-3.36425,51.7484,113429686.3,59176.4674
Antrim and Newtownabbey,N09000001,Northern Ireland,N09000001,-6.1776,54.69386,725799509.4,145230.9111
"Armagh City, Banbridge and Craigavon",N09000002,Northern Ireland,N09000002,-6.43455,54.3867,1436133597,200894.1887
Belfast,N09000003,Northern Ireland,N09000003,-5.92535,54.59853,137793211.4,55368.34065
Causeway Coast and Glens,N09000004,Northern Ireland,N09000004,-6.5996,55.03962,1985246186,285673.8871
Derry City and Strabane,N09000005,Northern Ireland,N09000005,-7.42064,54.80904,1246637302,232726.7949
Fermanagh and Omagh,N09000006,Northern Ireland,N09000006,-7.5271,54.38521,3008098449,353030.336
Lisburn and Castlereagh,N09000007,Northern Ireland,N09000007,-6.03545,54.49752,511678825.7,133180.9712
Mid and East Antrim,N09000008,Northern Ireland,N09000008,-6.14645,54.86462,1064497679,198440.2405
Mid Ulster,N09000009,Northern Ireland,N09000009,-6.8889,54.55273,1960344283,267948.6097
"Newry, Mourne and Down",N09000010,Northern Ireland,N09000010,-6.08891,54.14953,1686589091,292915.11
Ards and North Down,N09000011,Northern Ireland,N09000011,-5.64568,54.56409,568018205.8,133193.8419
