cluster,companycount,total_employees,mean_employees,median_employees,stdev_employees,total_turnover,mean_turnover,media_turnover,stdev_turnover,total_Dealroom_PE,mean_Dealroom_PE,median_Dealroom_PE,stdev_Dealroom_PE,total_IUK_grants,mean_IUKfunding,median_IUKfunding,stdev_IUKfunding,Large,Medium,Micro,Small
0,90,4907.425641025641,54.52695156695157,33,56.59993197916159,884154020.0153847,9823933.555726497,2439959.3333333335,17599036.30703515,215737358.97435898,2397081.7663817666,0,8858979.48250075,93006785.52,4227581.16,1209061.8466666667,6723121.537454765,21,44,0,25
1,7,324.2564102564103,46.32234432234432,13.923076923076923,88.20187438982427,10577225.58974359,1511032.227106227,503512.5,2407076.7834386746,686923.0769230769,98131.86813186812,0,259632.5187671076,9310474.52,9310474.52,9310474.52,NA,1,2,0,4
2,15,1313.2333333333333,87.54888888888888,60,70.15929818415462,280209073.974359,18680604.931623932,4174378,30099229.51125526,5375000,358333.3333333333,0,952987.1582605528,NA,NA,NA,NA,5,6,0,4
3,11,281.04615384615386,25.54965034965035,17,17.421117011054612,43856101.646153845,3986918.3314685314,1614500,5098655.988930013,12017846.153846154,1092531.4685314684,686923.0769230769,1077879.0989796645,10645831.53,2661457.8825,652278.505,4442348.72871149,0,10,0,1
4,13,1317.9,101.37692307692308,54,133.10715078365845,431814131.0833333,33216471.621794872,9067006.75,50385140.74168459,116775000,8982692.307692308,0,32387557.707100566,NA,NA,NA,NA,7,4,0,2
5,17,1504.5,88.5,37.5,145.9966823253186,150947142.33333334,8879243.666666666,1380948.5,11750960.66032266,6425000,377941.17647058825,0,1373061.1999556061,740560.81,740560.81,740560.81,NA,7,7,0,3
6,8,645.1666666666666,80.64583333333333,21.75,159.815157055278,75832982.08333333,9479122.760416666,5570024.375,10750818.561832637,0,0,0,0,NA,NA,NA,NA,4,0,1,3
7,87,13577.982051282052,156.06875921013852,59,578.2952903861687,3926789399.851282,45135510.34311818,3272845,229250806.6318509,1112245948.7179487,12784436.19216033,0,32263689.443632804,4380688.13,625812.59,591783.16,330157.367692532,27,40,0,20
8,9,376.9897435897436,41.88774928774929,37.333333333333336,24.52222400961372,44688957.92307692,4965439.769230769,2666266,6479494.693170608,686923.0769230769,76324.78632478631,0,228974.35897435897,61627,61627,61627,NA,2,6,0,1
